pmid,title,authors,year,journal,doi,query,search_date
38279728,Diet and Lifestyle Modifications for Fibromyalgia.,Caroline Metyas; Tun Tun Aung; Jennifer Cheung; Marina Joseph; Andrew M Ballester; Samy Metyas,2024,Current rheumatology reviews,10.2174/0115733971274700231226075717,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802442
37371796,Fibromyalgia and Irritable Bowel Syndrome Interaction: A Possible Role for Gut Microbiota and Gut-Brain Axis.,Cinzia Garofalo; Costanza Maria Cristiani; Sara Ilari; Lucia Carmela Passacatini; Valentina Malafoglia; Giuseppe Viglietto; Jessica Maiuolo; Francesca Oppedisano; Ernesto Palma; Carlo Tomino; William Raffaeli; Vincenzo Mollace; Carolina Muscoli,2023,Biomedicines,10.3390/biomedicines11061701,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802515
37389240,Epidemiology of small intestinal bacterial overgrowth.,Irina Efremova; Roman Maslennikov; Elena Poluektova; Ekaterina Vasilieva; Yury Zharikov; Andrey Suslov; Yana Letyagina; Evgenii Kozlov; Anna Levshina; Vladimir Ivashkin,2023,World journal of gastroenterology,10.3748/wjg.v29.i22.3400,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802627
25402818,The gut microbiome and the brain.,Leo Galland,2014,Journal of medicinal food,10.1089/jmf.2014.7000,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802679
38399559,Unraveling the Complex Web of Fibromyalgia: A Narrative Review.,Sarah Al Sharie; Scott J Varga; Lou'i Al-Husinat; Piercarlo Sarzi-Puttini; Mohammad Araydah; Batool Riyad Bal'awi; Giustino Varrassi,2024,"Medicina (Kaunas, Lithuania)",10.3390/medicina60020272,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802748
38475833,Efficacy and safety of gut microbiota-based therapies in autoimmune and rheumatic diseases: a systematic review and meta-analysis of 80 randomized controlled trials.,Liuting Zeng; Kailin Yang; Qi He; Xiaofei Zhu; Zhiyong Long; Yang Wu; Junpeng Chen; Yuwei Li; Jinsong Zeng; Ge Cui; Wang Xiang; Wensa Hao; Lingyun Sun,2024,BMC medicine,10.1186/s12916-024-03303-4,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802872
37278059,Gut microbiota in chronic pain: Novel insights into mechanisms and promising therapeutic strategies.,Liping Liu; Qin Wu; Yuping Chen; Huiling Ren; Qi Zhang; Hengyue Yang; Wenying Zhang; Tingyu Ding; Shujie Wang; Yan Zhang; Yun Liu; Jihu Sun,2023,International immunopharmacology,10.1016/j.intimp.2023.109685,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.802926
35594658,Gut dysbiosis in rheumatic diseases: A systematic review and meta-analysis of 92 observational studies.,Yilun Wang; Jie Wei; Weiya Zhang; Michael Doherty; Yuqing Zhang; Haibin Xie; Wei Li; Ning Wang; Guanghua Lei; Chao Zeng,2022,EBioMedicine,10.1016/j.ebiom.2022.104055,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803020
40280127,The gut microbiota promotes pain in fibromyalgia.,Weihua Cai; May Haddad; Rana Haddad; Inbar Kesten; Tseela Hoffman; Reut Laan; Susan Westfall; Manon Defaye; Nasser S Abdullah; Calvin Wong; Nicole Brown; Shannon Tansley; Kevin C Lister; Mehdi Hooshmandi; Feng Wang; Louis-Etienne Lorenzo; Volodya Hovhannisyan; David Ho-Tieng; Vibhu Kumar; Behrang Sharif; Bavanitha Thurairajah; Jonathan Fan; Tali Sahar; Charlotte Clayton; Neil Wu; Ji Zhang; Haggai Bar-Yoseph; Milena Pitashny; Emerson Krock; Jeffrey S Mogil; Masha Prager-Khoutorsky; Philippe Séguéla; Christophe Altier; Irah L King; Yves De Koninck; Nicholas J B Brereton; Emmanuel Gonzalez; Yoram Shir; Amir Minerbi; Arkady Khoutorsky,2025,Neuron,10.1016/j.neuron.2025.03.032,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803161
40470564,Fibromyalgia: one year in review 2025.,Cristina Iannuccelli; Martina Favretti; Giulio Dolcini; Marco Di Carlo; Greta Pellegrino; Laura Bazzichi; Fabiola Atzeni; Daniela Lucini; Giustino Varassi; Matteo Luigi Giuseppe Leoni; Diego Maria Michele Fornasari; Fabrizio Conti; Fausto Salaffi; Piercarlo Sarzi-Puttini; Manuela Di Franco,2025,Clinical and experimental rheumatology,10.55563/clinexprheumatol/buhd2z,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803215
