pmid,title,abstract,authors,journal,publication_year,doi,mesh_terms,title_screening_relevant,title_screening_reason,title_screening_notes,abstract_screening_relevant,abstract_screening_reason,abstract_screening_notes,full_text_screening_relevant,full_text_screening_reason,full_text_screening_notes,final_inclusion,exclusion_reason
39456224,Study Title for PMID 39456224,Abstract text for PMID 39456224,"Author1, Author2 et al.",Journal Name,2023,10.1000/39456224,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
37866648,Study Title for PMID 37866648,Abstract text for PMID 37866648,"Author1, Author2 et al.",Journal Name,2023,10.1000/37866648,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36833885,Study Title for PMID 36833885,Abstract text for PMID 36833885,"Author1, Author2 et al.",Journal Name,2023,10.1000/36833885,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36810418,Study Title for PMID 36810418,Abstract text for PMID 36810418,"Author1, Author2 et al.",Journal Name,2023,10.1000/36810418,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36149895,Study Title for PMID 36149895,Abstract text for PMID 36149895,"Author1, Author2 et al.",Journal Name,2023,10.1000/36149895,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
33468164,Study Title for PMID 33468164,Abstract text for PMID 33468164,"Author1, Author2 et al.",Journal Name,2023,10.1000/33468164,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
33331911,Study Title for PMID 33331911,Abstract text for PMID 33331911,"Author1, Author2 et al.",Journal Name,2023,10.1000/33331911,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
32192466,Study Title for PMID 32192466,Abstract text for PMID 32192466,"Author1, Author2 et al.",Journal Name,2023,10.1000/32192466,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
32158700,Study Title for PMID 32158700,Abstract text for PMID 32158700,"Author1, Author2 et al.",Journal Name,2023,10.1000/32158700,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
28900158,Study Title for PMID 28900158,Abstract text for PMID 28900158,"Author1, Author2 et al.",Journal Name,2023,10.1000/28900158,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
