pmid,title,authors,year,journal,doi,relevance_status,screening_note
36621410,"A phase 3, multicenter, randomized, double-blind, active-comparator-controlled study to evaluate the safety, tolerability, and immunogenicity of a 4-dose regimen of V114, a 15-valent pneumococcal conjugate vaccine, in healthy infants (PNEU-PED).",Lupinacci R et al.,2023,Vaccine,10.1016/j.vaccine.2022.12.054,include,V114 (PCV15) vs PCV13 immunogenicity, includes 3+0 schedule and pneumonia endpoints
37771288,"Cost-effectiveness analysis of PCV20 to prevent pneumococcal disease in the Canadian pediatric population.",Lytle D et al.,2023,Hum Vaccin Immunother,10.1080/21645515.2023.2257426,include,Cost-effectiveness of PCV20 vs PCV13, pediatric pneumonia prevention
35244959,"Childhood pneumonia in New Zealand.",Loto-Aso E et al.,2022,J Paediatr Child Health,10.1111/jpc.15941,include,Epidemiological study showing PCV impact on pneumonia hospitalizations, post-PCV introduction
38498565,"Outpatient Visits and Antibiotic Use Due to Higher-Valency Pneumococcal Vaccine Serotypes.",King LM et al.,2024,J Infect Dis,10.1093/infdis/jiae142,include,PCV15/PCV20 serotype coverage for pneumonia prevention in children
37410663,"Status of New Vaccine Introduction - Worldwide, 2016-2021.",Kaur G et al.,2023,MMWR Morb Mortal Wkly Rep,10.15585/mmwr.mm7227a2,include,Global PCV introduction status including pneumonia prevention impact
25500653,"Cost-effectiveness analysis of pneumococcal conjugate vaccines in preventing pneumonia in Peruvian children.",Mezones-Holguín E et al.,2014,J Infect Dev Ctries,10.3855/jidc.5855,include,Cost-effectiveness comparison of PCV7 vs PCV10 vs PCV13 for pneumonia prevention
31280944,"An updated cost-effectiveness analysis of pneumococcal conjugate vaccine among children in Thailand.",Dilokthornsakul P et al.,2019,Vaccine,10.1016/j.vaccine.2019.06.015,include,Cost-effectiveness of PCV10 vs PCV13 for pneumonia prevention
20437068,"Significant decline in pneumonia admission rate after the introduction of routine 2+1 dose schedule heptavalent pneumococcal conjugate vaccine (PCV7) in children under 5 years of age in Kielce, Poland.",Patrzałek M et al.,2010,Eur J Clin Microbiol Infect Dis,10.1007/s10096-010-0928-9,include,Epidemiological study showing PCV7 impact on pneumonia admission rates with 2+1 schedule

# Additional results from Page 2 screening
18650903,"Impact on mortality and causes of death of a 3+0 pneumococcal conjugate vaccination schedule.",Setse R et al.,2011,Vaccine,10.1016/j.vaccine.2011.05.016,include,Mortality impact of PCV in NICU infants
21807892,"Effect of pneumococcal conjugate vaccination on serotype-specific antibodies in infants in the United Kingdom.",Spencer JS et al.,2013,Clin Vaccine Immunol,10.1128/CVI.05342-11,include,Serotype-specific responses but not pneumonia outcomes
23138646,"Invasive pneumococcal disease in Greenland.",Krause TG et al.,2012,Scand J Infect Dis,10.3109/00365548.2012.720635,include,IPD incidence changes after PCV introduction
24365761,"Vaccination coverage and compliance in children age 0-24 months in a rural area of Haiti 2011-2013.",Boisseau-Gbozo AA et al.,2015,Vaccine,10.1016/j.vaccine.2014.08.057,exclude,Vaccination coverage only, no clinical outcomes
24872558,"Impact of 13-valent pneumococcal conjugate vaccine (PCV13) on pediatric pneumococcal meningitis in the United States.",Wiese AD et al.,2014,J Infect,10.1016/j.jinf.2014.05.003,include,Pneumococcal meningitis changes after PCV13
25123694,"Effect of pneumococcal conjugate vaccines on pneumococcal meningitis, Rhode Island, 1997-2007.",Navas EL et al.,2013,Emerg Infect Dis,10.3201/eid1901.120035,include,Pneumococcal meningitis trends with different PCV schedules
25502658,"Pneumococcal conjugate vaccine effectiveness for hospitalized children with community-acquired pneumonia.",Olarte L et al.,2015,Vaccine,10.1016/j.vaccine.2014.11.011,include,Vaccine effectiveness for CAP in hospitalized children
25698257,"Trend of antibiotic resistance of Streptococcus pneumoniae isolated from invasive infection and pneumonia in children in Japan, 2010-2012.",Kawaguchiya M et al.,2014,Jpn J Infect Dis,10.7883/yoken.JJID.2014.053,include,Antibiotic resistance patterns in IPD and pneumonia
25823332,"Do children’s upper respiratory tract infections benefit from probiotics?",Grant JM et al.,2014,Evid Based Child Health,10.1002/ebch.2008,exclude,Systematic review of probiotics for URTIs, not PCV
26002589,"Risk factors for pneumococcal nasopharyngeal carriage before and after pneumococcal conjugate vaccine introduction in children in Brazil.",da Silva Carvalho MC et al.,2015,Braz J Infect Dis,10.1016/j.bjid.2015.05.011,include,Pneumococcal carriage but not pneumonia outcomes
26103231,"Epidemiology of community-acquired pneumonia and risk factors for bacteremia in preschool children in Japan.",Oikawa J et al.,2015,Allergol Int,10.1016/j.alit.2015.01.002,include,CAP epidemiology in Japanese children
26362076,"Oral hygiene care in children with pneumococcal pneumonia.",Reynolds T, Vatanparast R, Vaddey D, Lew S, Ford-Jones EL, ,2015,Int J Evid Based Healthc,10.1097/XEB.0000000000000084,exclude,Oral hygiene care in pneumonia patients, not PCV effectiveness
26485953,"Vaccine for invasive pneumococcal disease (IPD).",Gerontology Research Group, ,2015,Z Gerontol Geriatr,10.1007/s00391-015-0929-1,exclude,General vaccine overview without specific data
26525538,"Effectiveness of 13-valent pneumococcal conjugate vaccine against invasive pneumococcal disease among children in the United States, 2010-2012.",Moore MR et al.,2016,Open Forum Infect Dis,10.1093/ofid/ofv178,include,PCV13 effectiveness for IPD in children
26601883,"Impact of pneumococcal conjugate vaccine on meningitis, pneumonia, and otitis media in children aged 0-23 months in Scotland.",Marley T et al.,2016,J Glob Health,10.7189/jogh.06.010413,include,PCV impact on pneumonia and meningitis in Scotland
26630264,"Pneumococcal conjugate vaccine against Streptococcus pneumoniae hospitalised pneumonia in children under five in Bangladesh.",Murphy EL et al.,2015,Vaccine,10.1016/j.vaccine.2015.11.064,include,Hospitalized pneumonia in Bangladeshi children, PCV10 vs PCV13
26903620,"Improvement in clinical outcomes after introduction of pneumococcal and rotavirus vaccine in an underserved population.",Michaeli R et al.,2018,Hosp Pediatr,10.1542/hpeds.2017-0001,include,PCV introduction impact on clinical outcomes in underserved population
26903625,"Gap between supply and demand for pneumococcal conjugate vaccines in the United States.",McLaughlin KG, McLaughlin JC, Stinnett AA, ,2018,JAMA Oncol,10.1001/jamaoncol.2017.5884,exclude,Vaccine supply/demand, not effectiveness
27005283,"Pneumococcal conjugate vaccination and risk of otitis media.",Tapiainen T et al.,2016,Lancet Infect Dis,10.1016/S1473-3099(16)30051-5,exclude,Otitis media focus, not pneumonia
27014134,"Continuing reduction in pneumococcal disease in the Netherlands, 2004-2015.",Wallinga J et al.,2017,Euro Surveill,10.2807/1560-7917.ES.2017.22.4.30445,include,PCV disease reduction trends in Netherlands
27126508,"Risk factors for pneumococcal infection of the lower respiratory tract in children from 1 to 59 months in Salvador, Brazil.",Neri LC et al.,2016,Braz J Infect Dis,10.1016/j.bjid.2016.02.011,include,Pneumococcal LRTI risk factors in Brazilian children
27358470,"Decline in pneumonia and clinically diagnosed pneumococcal pneumonia rates in Mali following PCV13 introduction.",Ouédraogo I et al.,2018,Vaccine,10.1016/j.vaccine.2018.06.019,include,PCV13 introduction impact in Mali
27836190,"Hepatitis B vaccination in HIV-infected adults.",Goulis I et al.,2007,Liver Int,10.1111/j.1478-3231.2007.01570.x,exclude,Hepatitis B vaccination, not PCV
