pmid,title,abstract,authors,journal,publication_year,doi,mesh_terms,title_screening_relevant,title_screening_reason,title_screening_notes,abstract_screening_relevant,abstract_screening_reason,abstract_screening_notes,full_text_screening_relevant,full_text_screening_reason,full_text_screening_notes,final_inclusion,exclusion_reason
40452048,Study Title for PMID 40452048,Abstract text for PMID 40452048,"Author1, Author2 et al.",Journal Name,2023,10.1000/40452048,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
40059505,Study Title for PMID 40059505,Abstract text for PMID 40059505,"Author1, Author2 et al.",Journal Name,2023,10.1000/40059505,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
39456224,Study Title for PMID 39456224,Abstract text for PMID 39456224,"Author1, Author2 et al.",Journal Name,2023,10.1000/39456224,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
38233990,Study Title for PMID 38233990,Abstract text for PMID 38233990,"Author1, Author2 et al.",Journal Name,2023,10.1000/38233990,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
37866648,Study Title for PMID 37866648,Abstract text for PMID 37866648,"Author1, Author2 et al.",Journal Name,2023,10.1000/37866648,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36833885,Study Title for PMID 36833885,Abstract text for PMID 36833885,"Author1, Author2 et al.",Journal Name,2023,10.1000/36833885,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36810418,Study Title for PMID 36810418,Abstract text for PMID 36810418,"Author1, Author2 et al.",Journal Name,2023,10.1000/36810418,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36149895,Study Title for PMID 36149895,Abstract text for PMID 36149895,"Author1, Author2 et al.",Journal Name,2023,10.1000/36149895,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
36095141,Study Title for PMID 36095141,Abstract text for PMID 36095141,"Author1, Author2 et al.",Journal Name,2023,10.1000/36095141,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
35594658,Study Title for PMID 35594658,Abstract text for PMID 35594658,"Author1, Author2 et al.",Journal Name,2023,10.1000/35594658,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
