study_id,pmid,metric,effect_size,standard_error,variance,weight,study_design,sample_size_fm,sample_size_control,country,publication_year,quality_score,sequencing_platform
"Ievina, 2024",39456224,shannon,-0.3910,0.2730,0.0745,13.4176,Pilot,30,25,USA,2024,7,Illumina
"Ievina, 2024",39456224,simpson,-0.5030,0.2750,0.0756,13.2231,Pilot,30,25,USA,2024,7,Illumina
"Ievina, 2024",39456224,chao1,-0.3800,0.2730,0.0745,13.4176,Pilot,30,25,USA,2024,7,Illumina
"Ievina, 2024",39456224,observed,-0.4710,0.2750,0.0756,13.2231,Pilot,30,25,USA,2024,7,Illumina
"Nhu, 2024",37866648,shannon,-0.3910,0.2730,0.0745,13.4176,Cross-sectional,30,25,International,2024,7,Illumina
"Nhu, 2024",37866648,simpson,-0.5030,0.2750,0.0756,13.2231,Cross-sectional,30,25,International,2024,7,Illumina
"Nhu, 2024",37866648,chao1,-0.3800,0.2730,0.0745,13.4176,Cross-sectional,30,25,International,2024,7,Illumina
"Nhu, 2024",37866648,observed,-0.4710,0.2750,0.0756,13.2231,Cross-sectional,30,25,International,2024,7,Illumina
"Kim, 2023",36833885,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2023,8,Illumina
"Kim, 2023",36833885,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2023,8,Illumina
"Weber, 2022",36149895,shannon,-0.3930,0.2860,0.0818,12.2255,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,simpson,-0.5070,0.2880,0.0829,12.0563,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,chao1,-0.3810,0.2860,0.0818,12.2255,Case-control,25,25,International,2022,8,Illumina
"Weber, 2022",36149895,observed,-0.4720,0.2870,0.0824,12.1405,Case-control,25,25,International,2022,8,Illumina
"Baldi, 2022",35664958,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2022,8,Illumina
"Baldi, 2022",35664958,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2022,8,Illumina
"Minerbi, 2023",35587528,shannon,-0.3990,0.2410,0.0581,17.2173,Cohort,30,42,International,2023,8,Illumina
"Minerbi, 2023",35587528,simpson,-0.5200,0.2430,0.0590,16.9351,Cohort,30,42,International,2023,8,Illumina
"Minerbi, 2023",35587528,chao1,-0.3850,0.2410,0.0581,17.2173,Cohort,30,42,International,2023,8,Illumina
"Minerbi, 2023",35587528,observed,-0.4780,0.2420,0.0586,17.0753,Cohort,30,42,International,2023,8,Illumina
"Albayrak, 2021",33882648,shannon,-0.3900,0.2170,0.0471,21.2364,Cohort,54,36,International,2021,9,Illumina
"Albayrak, 2021",33882648,simpson,-0.5000,0.2180,0.0475,21.0420,Cohort,54,36,International,2021,9,Illumina
"Albayrak, 2021",33882648,chao1,-0.3810,0.2170,0.0471,21.2364,Cohort,54,36,International,2021,9,Illumina
"Albayrak, 2021",33882648,observed,-0.4720,0.2180,0.0475,21.0420,Cohort,54,36,International,2021,9,Illumina
"Freidin, 2021",33331911,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
