study_id,title,authors,overall_risk,confidence,confounding_risk,selection_risk,intervention_risk,deviations_risk,missing_data_risk,outcomes_risk,reporting_risk
pmid_37123450,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123451,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123452,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123453,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123454,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123455,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123456,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123457,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123458,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123459,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234510,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234511,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234512,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234513,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234514,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123450,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
