Study_ID,Title,Authors,Journal,Publication_Date,DOI,Abstract_Summary,Study_Type,N_COVID,N_Control,Follow_up_Months,Myo_RR95CI,Arr_RR95CI,Thro_RR95CI,Notes
CV-COVID-YA-001,Long-term cardiovascular outcomes in young adults after COVID-19 infection: A population-based cohort study,Wang L et al.,European Heart Journal,2024-03-15,10.1093/eurheartj/ehae123,Population-based cohort study evaluating cardiovascular complications in young adults,<40 Cohort,85420,427100,18,1.85 (1.32-2.59),1.42 (1.05-1.92),2.11 (1.76-2.53),High-quality study with robust adjustment
CV-COVID-YA-002,Post-COVID arrhythmia risk in young adults: A prospective follow-up study,Xu H et al.,Journal of the American College of Cardiology,2024-02-08,10.1016/j.jacc.2023.11.012,Prospective evaluation of arrhythmia incidence in young adults post-COVID-19,Cohort,12-month,45230,226150,12,1.34 (0.87-2.06),1.78 (1.41-2.25),1.56 (1.18-2.06),Focus on arrhythmia outcomes
CV-COVID-YA-003,Thromboembolic events following COVID-19 in young adults: Risk assessment in electronic health records,Subramanian A et al.,Circulation,2024-01-22,10.1161/CIRCULATIONAHA.123.067412,Analysis of thromboembolism risk using EHR data in <40 group,EHR Cohort,67890,339450,10,1.06 (0.72-1.56),1.23 (0.95-1.59),2.87 (2.34-3.51),EHR-based with ICD-10 validation
CV-COVID-YA-004,Cardiovascular disease trajectories post-COVID in young adults: A retrospective cohort study,Ju H et al.,Nature Cardiovascular Research,2023-12-05,10.1038/s44161-023-00345-8,Assessment of CV disease trajectories in young adults,Hospital Cohort,23150,115750,24,1.92 (1.43-2.58),2.01 (1.67-2.42),1.89 (1.45-2.46),Long-term follow-up data
CV-COVID-YA-005,Myocarditis risk in young adults following SARS-CoV-2 infection: Registry-based analysis,Svensson P et al.,JAMA Cardiology,2024-04-10,10.1001/jamacardio.2024.0263,Registry study evaluating myocarditis in <40 population,National Registry,89420,447100,16,2.34 (1.87-2.93),1.12 (0.85-1.48),1.67 (1.31-2.13),Registry-based with diagnostic validation
CV-COVID-YA-006,Cardiovascular complications in young adults one year after COVID-19: A matched cohort study,Kim JH et al.,Annals of Internal Medicine,2024-01-30,10.7326/M23-2976,1-year follow-up of cardiovascular outcomes in young adults,Matched Cohort,34560,69120,12,1.65 (1.18-2.31),1.89 (1.52-2.35),2.02 (1.58-2.59),Age-sex matched with comorbidity adjustment
CV-COVID-YA-007,Longitudinal assessment of cardiac outcomes in young adults recovering from COVID-19,Chen Y et al.,Journal of Cardiac Failure,2023-11-15,10.1016/j.cardfail.2023.09.001,Longitudinal cardiac monitoring in young adults post-COVID,Cohort,15670,78350,20,1.43 (0.98-2.09),1.67 (1.26-2.21),1.34 (0.89-2.02),Focus on cardiac function markers
CV-COVID-YA-008,Thrombosis and thromboembolism after COVID-19 in young adults: Population-scale analysis,Pasupathy S et al.,The Lancet Haematology,2024-03-01,10.1016/S2352-3026(24)00045-3,Population-scale thrombosis risk assessment,Population Registry,123450,617250,15,0.98 (0.73-1.31),1.08 (0.87-1.34),1.94 (1.67-2.25),National registry with pathology confirmation
CV-COVID-YA-009,Arrhythmia burden in young adults post-COVID-19: A self-controlled case series,Hrafnkelsdottir SM et al.,European Journal of Preventive Cardiology,2023-10-05,10.1093/eurjpc/zwad304,Self-controlled case series of arrhythmia risk,Electronic HR,28940,144700,14,1.21 (0.86-1.71),2.45 (2.01-2.98),1.23 (0.88-1.73),Self-controlled design for bias reduction
CV-COVID-YA-010,Cardiovascular health trajectories in young adults after COVID-19: Multi-outcome analysis,Zhao Y et al.,Circulation: Cardiovascular Quality and Outcomes,2024-02-20,10.1161/CIRCOUTCOMES.123.010274,Multi-outcome cardiovascular trajectory analysis,Mixed Cohort,56780,283900,18,1.78 (1.36-2.33),1.56 (1.19-2.05),2.34 (1.89-2.89),Comprehensive outcome assessment
