study_id,pmid,title,screening_date,include,reasons,exclusion_reasons
STUDY_0001,37700179,The impact of a non-restrictive Antimicrobial Stewardship Program in the emergency department of a secondary-level Italian hospital.,2025-10-13T10:03:42.798064,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0002,35905080,Prospective audit and feedback implementation by a multidisciplinary antimicrobial stewardship team shortens the time to de-escalation of anti-MRSA agents.,2025-10-13T10:03:42.798963,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0003,30680565,Clinical outcome of pharmacist-led prospective audit with intervention and feedback after expansion from patients using specific antibiotics to those using whole injectable antibiotics.,2025-10-13T10:03:42.799309,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0004,31545768,Educational ICU Antimicrobial Stewardship model: the daily activities of the AMS team over a 10-month period.,2025-10-13T10:03:42.799580,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Not original research']
STUDY_0005,32088130,The effect of preauthorization and prospective audit and feedback system on oral antimicrobial prescription for outpatients at a children's hospital in Japan.,2025-10-13T10:03:42.799728,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Pediatric population', 'Outpatient or long-term care setting']"
STUDY_0006,34564550,Strategies Used for Implementing and Promoting Adherence to Antibiotic Guidelines in Low- and Lower-Middle-Income Countries: A Systematic Review.,2025-10-13T10:03:42.799904,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0007,28002979,Antibiotic stewardship in community-acquired pneumonia.,2025-10-13T10:03:42.800046,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0008,27449956,Reducing co-administration of proton pump inhibitors and antibiotics using a computerized order entry alert and prospective audit and feedback.,2025-10-13T10:03:42.800163,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0009,27277136,Assessment of Time to Clinical Response in Patients with Sepsis Treated Before and After Implementation of a Matrix-Assisted Laser Desorption Ionization Time-of-Flight Blood Culture Identification Algorithm.,2025-10-13T10:03:42.800236,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting']"
STUDY_0010,37887258,Antimicrobial Stewardship in the Hospital Setting: A Narrative Review.,2025-10-13T10:03:42.800346,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0011,39592720,Impact of a two step antimicrobial stewardship program in a paediatric haematology and oncology unit.,2025-10-13T10:03:42.800829,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0012,36140007,Impact of an Antimicrobial Stewardship Program Intervention Associated with the Rapid Identification of Microorganisms by MALDI-TOF and Detection of Resistance Genes in ICU Patients with Gram-Negative Bacteremia.,2025-10-13T10:03:42.801029,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting']"
STUDY_0013,35326835,Clinical and Microbiological Effects of an Antimicrobial Stewardship Program in Urology-A Single Center Before-After Study.,2025-10-13T10:03:42.801136,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0014,36100471,Optimization of antimicrobial prescription in the hospital.,2025-10-13T10:03:42.801304,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0015,36111208,Early appropriate diagnostics and treatment of MDR Gram-negative infections.,2025-10-13T10:03:42.801386,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0016,35134035,The Impact of Antimicrobial Stewardship in Children in Low- and Middle-income Countries: A Systematic Review.,2025-10-13T10:03:42.801524,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Pediatric population', 'Not original research']"
STUDY_0017,27309536,"Evaluating the Effectiveness of an Antimicrobial Stewardship Program on Reducing the Incidence Rate of Healthcare-Associated Clostridium difficile Infection: A Non-Randomized, Stepped Wedge, Single-Site, Observational Study.",2025-10-13T10:03:42.801587,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0018,38301713,Risk of Multidrug-Resistant Pathogens in Severe Community-Acquired Pneumonia.,2025-10-13T10:03:42.801665,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0019,35326825,"Use of Antimicrobials for Bloodstream Infections in the Intensive Care Unit, a Clinically Oriented Review.",2025-10-13T10:03:42.801771,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0020,35320289,Efficacy and safety of antimicrobial stewardship prospective audit and feedback in patients hospitalized with COVID-19: A protocol for a pragmatic clinical trial.,2025-10-13T10:03:42.801897,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'outcomes: No relevant outcomes identified', 'Outpatient or long-term care setting']"
STUDY_0021,38186441,The Role of Clinical Pharmacists in Antimicrobial Stewardship Programs (ASPs): A Systematic Review.,2025-10-13T10:03:42.802232,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0022,14586487,Cycling chemotherapy: a promising approach to reducing the morbidity and mortality of nosocomial infections.,2025-10-13T10:03:42.802384,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0023,39596730,An Update on Recent Clinical Trial Data in Bloodstream Infection.,2025-10-13T10:03:42.802549,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0024,39564592,Combating antimicrobial resistance in osteoarticular infections: Current strategies and future directions.,2025-10-13T10:03:42.802671,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0025,34131939,Optimizing rapid diagnostics and diagnostic stewardship in Gram-negative bacteremia.,2025-10-13T10:03:42.802869,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0026,38896373,Recently developed radiopharmaceuticals for bacterial infection imaging.,2025-10-13T10:03:42.802991,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0027,33648376,The Implementation and Effect of Weekend Pharmacy-Driven Antimicrobial Stewardship Services at a Large Academic Medical Center.,2025-10-13T10:03:42.803123,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'outcomes: No relevant outcomes identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0028,30051357,De-escalation and discontinuation strategies in high-risk neutropenic patients: an interrupted time series analyses of antimicrobial consumption and impact on outcome.,2025-10-13T10:03:42.803227,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0029,17896906,Antimicrobial stewardship.,2025-10-13T10:03:42.803372,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0030,33300825,Review of antimicrobial resistance control strategies: low impact of prospective audit with feedback on bacterial antibiotic resistance within hospital settings.,2025-10-13T10:03:42.803453,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0031,34648594,"Changes in antibiotic consumption, AMR and Clostridioides difficile infections in a large tertiary-care center following the implementation of institution-specific guidelines for antimicrobial therapy: A nine-year interrupted time series study.",2025-10-13T10:03:42.803723,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0032,39847251,Antibiotics for Paediatric Community-Acquired Pneumonia: What is the Optimal Course Duration?,2025-10-13T10:03:42.803802,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Pediatric population', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0033,26598095,Making a Case for Pediatric Antimicrobial Stewardship Programs.,2025-10-13T10:03:42.803884,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Pediatric population', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0034,28687210,Antimicrobial Stewardship Approaches in the Intensive Care Unit.,2025-10-13T10:03:42.803966,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0035,31585481,Controlling the Diffusion of Multidrug-Resistant Organisms in Intensive Care Units.,2025-10-13T10:03:42.804046,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0036,21507920,Strategies for reduction in duration of antibiotic use in hospitalized patients.,2025-10-13T10:03:42.804183,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0037,32391862,A Multifaceted Antimicrobial Stewardship Program for the Treatment of Uncomplicated Cystitis in Nursing Home Residents.,2025-10-13T10:03:42.804308,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting']"
STUDY_0038,32364030,"Effect of a ""handshake"" stewardship program versus a formulary restriction policy on High-End antibiotic use, expenditure, antibiotic resistance, and patient outcome.",2025-10-13T10:03:42.804518,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0039,32454075,Paediatric antimicrobial stewardship programmes in the UK's regional children's hospitals.,2025-10-13T10:03:42.804662,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['outcomes: No relevant outcomes identified', 'Pediatric population', 'Not original research']"
STUDY_0040,41022211,"Perioperative antimicrobial prophylaxis and surgical site infection prevention, what clinicians and researchers must know.",2025-10-13T10:03:42.804759,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0041,32771646,Antibiotics: easier to start than to stop? Predictors of antimicrobial stewardship recommendation acceptance.,2025-10-13T10:03:42.805336,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'outcomes: No relevant outcomes identified']"
STUDY_0042,35501756,Impact of antimicrobial stewardship programs on antibiotic consumption and antimicrobial resistance in four Colombian healthcare institutions.,2025-10-13T10:03:42.805542,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0043,29339298,Implementation and impact of an audit and feedback antimicrobial stewardship intervention in the orthopaedics department of a tertiary-care hospital: a controlled interrupted time series study.,2025-10-13T10:03:42.805650,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0044,34682223,Lessons from an Educational Invasive Fungal Disease Conference on Hospital Antifungal Stewardship Practices across the UK and Ireland.,2025-10-13T10:03:42.805873,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0045,29410029,Sustained multimodal antimicrobial stewardship in an Australian tertiary intensive care unit from 2008-2015: an interrupted time-series analysis.,2025-10-13T10:03:42.806105,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0046,38081051,Qualitative Assessment of a Smartphone-Based Mobile Health Tool to Guide Diarrhea Management in Bangladesh.,2025-10-13T10:03:42.806484,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Pediatric population', 'Outpatient or long-term care setting']"
