study_id,pmid,title,screening_date,include,reasons,exclusion_reasons
STUDY_0001,37700179,The impact of a non-restrictive Antimicrobial Stewardship Program in the emergency department of a secondary-level Italian hospital.,2025-10-13T10:05:08.404554,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0025,34131939,Optimizing rapid diagnostics and diagnostic stewardship in Gram-negative bacteremia.,2025-10-13T10:05:08.409014,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0031,34648594,"Changes in antibiotic consumption, AMR and Clostridioides difficile infections in a large tertiary-care center following the implementation of institution-specific guidelines for antimicrobial therapy: A nine-year interrupted time series study.",2025-10-13T10:05:08.410120,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0038,32364030,"Effect of a ""handshake"" stewardship program versus a formulary restriction policy on High-End antibiotic use, expenditure, antibiotic resistance, and patient outcome.",2025-10-13T10:05:08.410843,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0043,29339298,Implementation and impact of an audit and feedback antimicrobial stewardship intervention in the orthopaedics department of a tertiary-care hospital: a controlled interrupted time series study.,2025-10-13T10:05:08.411787,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0044,34682223,Lessons from an Educational Invasive Fungal Disease Conference on Hospital Antifungal Stewardship Practices across the UK and Ireland.,2025-10-13T10:05:08.411914,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0048,28079629,Duration of pneumonia therapy and the role of biomarkers.,2025-10-13T10:05:08.412280,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0053,35042878,The impact of antimicrobial stewardship program designed to shorten antibiotics use on the incidence of resistant bacterial infections and mortality.,2025-10-13T10:05:08.412887,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0058,36220019,[Antimicrobial stewardship program during the COVID-19 pandemic].,2025-10-13T10:05:08.413982,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0061,37887223,The Interventions and Challenges of Antimicrobial Stewardship in the Emergency Department.,2025-10-13T10:05:08.415028,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
