PMID: 32819262
Title: "Efficacy and Cardiovascular Safety of DPP-4 Inhibitors"
Authors: Subrahmanyan NA, Koshy RM, Jacob K, Pappachan JM
Journal: Curr Drug Saf
Year: 2021
DOI: NA

STUDY_DESIGN: Review and Meta-Analysis
PHASE: NA
COUNTRIES: Multi-national (based on included studies)
CENTERS: Multiple (review of multiple studies)
FUNDING: NR
REGISTRATION: NR

SAMPLE_SIZE: NR (review of multiple CVOTs and trials)
FOLLOW_UP_MONTHS: Varied (long-term CVOTs)
COMPLETION_RATE: NR

POPULATION_CRITERIA_INCLUSION: "T2DM patients with high CV risk"
POPULATION_CRITERIA_EXCLUSION: "Type 1 diabetes"

BASELINE_AGE_MEAN: NR
BASELINE_AGE_SD: NR
BASELINE_AGE_RANGE: NR

BASELINE_SEX_MALE_PCT: NR

BASELINE_RACE_WHITE_PCT: NR
BASELINE_RACE_ASIAN_PCT: NR
BASELINE_RACE_BLACK_PCT: NR
BASELINE_RACE_HISPANIC_PCT: NR
BASELINE_RACE_OTHER_PCT: NR

BASELINE_DIABETES_DURATION_MEAN: NR
BASELINE_DIABETES_DURATION_SD: NR

BASELINE_HBA1C_MEAN: NR
BASELINE_HBA1C_SD: NR

BASELINE_BMI_MEAN: NR
BASELINE_BMI_SD: NR

BASELINE_EGFR_MEAN: NR
BASELINE_EGFR_SD: NR

BASELINE_COMORBIDITY_ASCVD_PCT: 100
BASELINE_COMORBIDITY_CKD_PCT: NR
BASELINE_COMORBIDITY_HF_PCT: NR
BASELINE_COMORBIDITY_HYPERTENSION_PCT: NR

INTERVENTION_ARM1_NAME: DPP-4 Inhibitors
INTERVENTION_ARM1_DRUG_CLASS: DPP-4i
INTERVENTION_ARM1_SPECIFIC_DRUG: Sitagliptin, saxagliptin, alogliptin, linagliptin
INTERVENTION_ARM1_DOSE: Standard doses
INTERVENTION_ARM1_FREQUENCY: Daily
INTERVENTION_ARM1_BACKGROUND: Standard care
INTERVENTION_ARM1_PARTICIPANTS: NR

INTERVENTION_ARM2_NAME: Placebo
INTERVENTION_ARM2_DRUG_CLASS: Placebo
INTERVENTION_ARM2_SPECIFIC_DRUG: Placebo
INTERVENTION_ARM2_DOSE: NA
INTERVENTION_ARM2_FREQUENCY: Daily
INTERVENTION_ARM2_BACKGROUND: Standard care
INTERVENTION_ARM2_PARTICIPANTS: NR

OUTCOME_CV_COMPOSITE_DEFINITION: "MACE (CV death, MI, stroke)"
OUTCOME_CV_COMPOSITE_TIMEPOINT_MONTHS: Varied

OUTCOME_CV_COMPOSITE_ARM1_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM1_TOTAL: NR
OUTCOME_CV_COMPOSITE_ARM1_EFFECT: "DPP-4i vs placebo: HR 0.99 (95% CI 0.93-1.05)"
OUTCOME_CV_COMPOSITE_ARM2_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM2_TOTAL: NR
OUTCOME_CV_COMPOSITE_ARM2_EFFECT: Reference

OUTCOME_EGFR_DECLINE_DEFINITION: NR
OUTCOME_EGFR_DECLINE_TIMEPOINT_MONTHS: Varied

OUTCOME_EGFR_DECLINE_ARM1_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM1_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM1_EFFECT: NR
OUTCOME_EGFR_DECLINE_ARM2_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM2_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM2_EFFECT: NR

OUTCOME_ESKD_DEFINITION: NR
OUTCOME_ESKD_TIMEPOINT_MONTHS: Varied

OUTCOME_ESKD_ARM1_EVENTS: NR
OUTCOME_ESKD_ARM1_TOTAL: NR
OUTCOME_ESKD_ARM1_EFFECT: NR
OUTCOME_ESKD_ARM2_EVENTS: NR
OUTCOME_ESKD_ARM2_TOTAL: NR
OUTCOME_ESKD_ARM2_EFFECT: NR

OUTCOME_HYPOGLYCEMIA_DEFINITION: "Hypoglycemia"
OUTCOME_HYPOGLYCEMIA_TIMEPOINT_MONTHS: Varied

OUTCOME_HYPOGLYCEMIA_ARM1_EVENTS: NR
OUTCOME_HYPOGLYCEMIA_ARM1_TOTAL: NR
OUTCOME_HYPOGLYCEMIA_ARM1_EFFECT: "DPP-4i vs placebo: RR 1.05 (95% CI 0.89-1.25)"
OUTCOME_HYPOGLYCEMIA_ARM2_EVENTS: NR
OUTCOME_HYPOGLYCEMIA_ARM2_TOTAL: NR
OUTCOME_HYPOGLYCEMIA_ARM2_EFFECT: Reference

OUTCOME_HBA1C_CHANGE_TIMEPOINT_WEEKS: Varied

OUTCOME_HBA1C_ARM1_BASELINE_MEAN: NR
OUTCOME_HBA1C_ARM1_BASELINE_SD: NR
OUTCOME_HBA1C_ARM1_CHANGE_MEAN: -0.5
OUTCOME_HBA1C_ARM1_CHANGE_SD: NR
OUTCOME_HBA1C_ARM1_MD: "DPP-4i vs placebo: MD -0.5% (95% CI -0.6 to -0.4)"
OUTCOME_HBA1C_ARM2_BASELINE_MEAN: NR
OUTCOME_HBA1C_ARM2_BASELINE_SD: NR
OUTCOME_HBA1C_ARM2_CHANGE_MEAN: 0.0
OUTCOME_HBA1C_ARM2_CHANGE_SD: NR
OUTCOME_HBA1C_ARM2_MD: Reference

OUTCOME_WEIGHT_CHANGE_TIMEPOINT_WEEKS: Varied

OUTCOME_WEIGHT_ARM1_BASELINE_MEAN: NR
OUTCOME_WEIGHT_ARM1_BASELINE_SD: NR
OUTCOME_WEIGHT_ARM1_CHANGE_MEAN: -0.2
OUTCOME_WEIGHT_ARM1_CHANGE_SD: NR
OUTCOME_WEIGHT_ARM1_MD: "DPP-4i vs placebo: MD -0.2 kg (95% CI -0.5 to 0.1)"
OUTCOME_WEIGHT_ARM2_BASELINE_MEAN: NR
OUTCOME_WEIGHT_ARM2_BASELINE_SD: NR
