study_id,pmid,form_section,field_name,value,confidence,notes,extraction_date
STUDY_0053,35042878,study_characteristics,study_design,Interruped Time Series (ITS),High,"Prospective ITS study design, pre/post implementation analysis",2025-10-13
STUDY_0053,35042878,study_characteristics,title,The impact of antimicrobial stewardship program designed to shorten antibiotics use on the incidence of resistant bacterial infections and mortality.,High,Complete title from PubMed,2025-10-13
STUDY_0053,35042878,study_characteristics,authors,"Jamaluddin,F. A.; Khairunnisa, Y.; Firdaus, M.; Masri, M.",Medium,"First-listed authors, possible complete author list needed",2025-10-13
STUDY_0053,35042878,study_characteristics,journal,Antibiotics,High,Full journal name,2025-10-13
STUDY_0053,35042878,study_characteristics,year,2022,High,Publication year,2025-10-13
STUDY_0053,35042878,study_characteristics,doi,10.3390/antibiotics11020217,High,Complete DOI,2025-10-13
STUDY_0053,35042878,study_characteristics,setting_type,Hospital,High,Tertiary care hospital setting,2025-10-13
STUDY_0053,35042878,study_characteristics,geographic_region,Asia Pacific,High,Malaysia location,2025-10-13
STUDY_0053,35042878,study_characteristics,country,Malaysia,High,Specific country,2025-10-13
STUDY_0053,35042878,study_characteristics,study_duration_months,24,High,24 months total: 12 months pre + 12 months post intervention,2025-10-13
STUDY_0053,35042878,intervention_details,intervention_category,Prospective audit and feedback (PAF),High,Main intervention: ASP with PAF for shortening antibiotic use,2025-10-13
STUDY_0053,35042878,intervention_details,intervention_components,"Antibiotic review and optimization, Duration review and modification, Dose adjustment, IV to PO conversion",High,"Key stewardship interventions: review, modification, conversion",2025-10-13
STUDY_0053,35042878,intervention_details,implementation_team,"Clinical pharmacist, Infectious disease physician",High,Multidisciplinary team: pharmacist + physician,2025-10-13
STUDY_0053,35042878,intervention_details,training_provided,Yes,High,Team trained in stewardship protocols,2025-10-13
STUDY_0053,35042878,outcome_data,outcome_name,mortality,High,Primary outcome: mortality,2025-10-13
STUDY_0053,35042878,outcome_data,outcome_definition,All-cause mortality,Medium,"Mortality definition, assuming all-cause",2025-10-13
STUDY_0053,35042878,outcome_data,measurement_method,Hospital records,High,Standard hospital data collection,2025-10-13
