study_id,pmid,extraction_timestamp,status,notes
STUDY_0001,37700179,2025-10-13T10:07:55.908291,Completed,Automated extraction from title and abstract
STUDY_0025,34131939,2025-10-13T10:07:55.909538,Completed,Automated extraction from title and abstract
STUDY_0031,34648594,2025-10-13T10:07:55.912573,Completed,Automated extraction from title and abstract
STUDY_0038,32364030,2025-10-13T10:07:55.913805,Completed,Automated extraction from title and abstract
STUDY_0043,29339298,2025-10-13T10:07:55.914599,Completed,Automated extraction from title and abstract
STUDY_0044,34682223,2025-10-13T10:07:55.915234,Completed,Automated extraction from title and abstract
STUDY_0048,28079629,2025-10-13T10:07:55.917305,Completed,Automated extraction from title and abstract
STUDY_0053,35042878,2025-10-13T10:07:55.919082,Completed,Automated extraction from title and abstract
STUDY_0058,36220019,2025-10-13T10:07:55.920064,Completed,Automated extraction from title and abstract
STUDY_0061,37887223,2025-10-13T10:07:55.920697,Completed,Automated extraction from title and abstract
STUDY_0065,36716763,2025-10-13T10:07:55.921444,Completed,Automated extraction from title and abstract
STUDY_0066,34635529,2025-10-13T10:07:55.922094,Completed,Automated extraction from title and abstract
STUDY_0084,21679144,2025-10-13T10:07:55.922894,Completed,Automated extraction from title and abstract
STUDY_0095,40547325,2025-10-13T10:07:55.924245,Completed,Automated extraction from title and abstract
STUDY_0096,25011604,2025-10-13T10:07:55.925047,Completed,Automated extraction from title and abstract
STUDY_0132,27385708,2025-10-13T10:07:55.925884,Completed,Automated extraction from title and abstract
STUDY_0136,36830213,2025-10-13T10:07:55.927928,Completed,Automated extraction from title and abstract
STUDY_0144,28947463,2025-10-13T10:07:55.929152,Completed,Automated extraction from title and abstract
STUDY_0145,38092304,2025-10-13T10:07:55.931616,Completed,Automated extraction from title and abstract
STUDY_0146,38141837,2025-10-13T10:07:55.932855,Completed,Automated extraction from title and abstract
STUDY_0160,35588970,2025-10-13T10:07:55.933895,Completed,Automated extraction from title and abstract
STUDY_0172,35077523,2025-10-13T10:07:55.934734,Completed,Automated extraction from title and abstract
STUDY_0175,38752207,2025-10-13T10:07:55.935803,Completed,Automated extraction from title and abstract
STUDY_0176,38863389,2025-10-13T10:07:55.937723,Completed,Automated extraction from title and abstract
STUDY_0182,33653766,2025-10-13T10:07:55.939286,Completed,Automated extraction from title and abstract
STUDY_0183,35178569,2025-10-13T10:07:55.940590,Completed,Automated extraction from title and abstract
STUDY_0184,35383069,2025-10-13T10:07:55.942322,Completed,Automated extraction from title and abstract
STUDY_0203,30283084,2025-10-13T10:07:55.943176,Completed,Automated extraction from title and abstract
STUDY_0249,33677793,2025-10-13T10:07:55.945592,Completed,Automated extraction from title and abstract
STUDY_0255,17082202,2025-10-13T10:07:55.947172,Completed,Automated extraction from title and abstract
STUDY_0281,39732716,2025-10-13T10:07:55.948749,Completed,Automated extraction from title and abstract
STUDY_0297,32893441,2025-10-13T10:07:55.950014,Completed,Automated extraction from title and abstract
STUDY_0314,32272171,2025-10-13T10:07:55.951844,Completed,Automated extraction from title and abstract
STUDY_0333,32016346,2025-10-13T10:07:55.953582,Completed,Automated extraction from title and abstract
STUDY_0349,38161969,2025-10-13T10:07:55.954587,Completed,Automated extraction from title and abstract
STUDY_0382,33517926,2025-10-13T10:07:55.955564,Completed,Automated extraction from title and abstract
STUDY_0403,29661158,2025-10-13T10:07:55.956618,Completed,Automated extraction from title and abstract
STUDY_0405,29514268,2025-10-13T10:07:55.958197,Completed,Automated extraction from title and abstract
STUDY_0421,28927475,2025-10-13T10:07:55.959939,Completed,Automated extraction from title and abstract
STUDY_0426,36009945,2025-10-13T10:07:55.961016,Completed,Automated extraction from title and abstract
STUDY_0457,27422026,2025-10-13T10:07:55.962132,Completed,Automated extraction from title and abstract
STUDY_0460,36075750,2025-10-13T10:07:55.962919,Completed,Automated extraction from title and abstract
STUDY_0468,37125081,2025-10-13T10:07:55.963587,Completed,Automated extraction from title and abstract
STUDY_0486,36914995,2025-10-13T10:07:55.964451,Completed,Automated extraction from title and abstract
STUDY_0551,26661392,2025-10-13T10:07:55.965728,Completed,Automated extraction from title and abstract
STUDY_0612,39906215,2025-10-13T10:07:55.966814,Completed,Automated extraction from title and abstract
STUDY_0649,40888899,2025-10-13T10:07:55.967651,Completed,Automated extraction from title and abstract
STUDY_0656,31620836,2025-10-13T10:07:55.968696,Completed,Automated extraction from title and abstract
STUDY_0697,40032196,2025-10-13T10:07:55.969351,Completed,Automated extraction from title and abstract
STUDY_0741,35451671,2025-10-13T10:07:55.970076,Completed,Automated extraction from title and abstract
STUDY_0745,33563619,2025-10-13T10:07:55.970746,Completed,Automated extraction from title and abstract
STUDY_0784,34460904,2025-10-13T10:07:55.971735,Completed,Automated extraction from title and abstract
STUDY_0786,39931585,2025-10-13T10:07:55.973721,Completed,Automated extraction from title and abstract
STUDY_0793,38372558,2025-10-13T10:07:55.975108,Completed,Automated extraction from title and abstract
STUDY_0802,35578243,2025-10-13T10:07:55.976226,Completed,Automated extraction from title and abstract
STUDY_0803,27452782,2025-10-13T10:07:55.977181,Completed,Automated extraction from title and abstract
STUDY_0827,30786942,2025-10-13T10:07:55.978038,Completed,Automated extraction from title and abstract
STUDY_0840,27887595,2025-10-13T10:07:55.979381,Completed,Automated extraction from title and abstract
STUDY_0850,40982183,2025-10-13T10:07:55.980652,Completed,Automated extraction from title and abstract
STUDY_0881,23743088,2025-10-13T10:07:55.982030,Completed,Automated extraction from title and abstract
STUDY_0896,20673259,2025-10-13T10:07:55.982819,Completed,Automated extraction from title and abstract
STUDY_0903,33232831,2025-10-13T10:07:55.983516,Completed,Automated extraction from title and abstract
STUDY_0963,28756579,2025-10-13T10:07:55.984156,Completed,Automated extraction from title and abstract
STUDY_0980,31692076,2025-10-13T10:07:55.984776,Completed,Automated extraction from title and abstract
STUDY_1045,36803370,2025-10-13T10:07:55.985896,Completed,Automated extraction from title and abstract
STUDY_1061,31202924,2025-10-13T10:07:55.987110,Completed,Automated extraction from title and abstract
STUDY_1094,31650816,2025-10-13T10:07:55.988388,Completed,Automated extraction from title and abstract
STUDY_1121,30732979,2025-10-13T10:07:55.989420,Completed,Automated extraction from title and abstract
STUDY_1142,18319126,2025-10-13T10:07:55.990157,Completed,Automated extraction from title and abstract
STUDY_1151,30820545,2025-10-13T10:07:55.990902,Completed,Automated extraction from title and abstract
STUDY_1177,16415039,2025-10-13T10:07:55.991480,Completed,Automated extraction from title and abstract
STUDY_1181,15367178,2025-10-13T10:07:55.991893,Completed,Automated extraction from title and abstract
STUDY_1198,28159671,2025-10-13T10:07:55.992655,Completed,Automated extraction from title and abstract
STUDY_1317,40032084,2025-10-13T10:07:55.994338,Completed,Automated extraction from title and abstract
STUDY_1452,34297040,2025-10-13T10:07:55.995783,Completed,Automated extraction from title and abstract
STUDY_1516,40338678,2025-10-13T10:07:55.996861,Completed,Automated extraction from title and abstract
